DAY|TIME PLAYED|SONG TITLE|SONG ARTIST
2024-09-06|23:27|GREEDY|TATE MCRAE
2024-09-06|23:19|ILLUSION|DUA LIPA
2024-09-06|23:16|DIAMONDS|RIHANNA
2024-09-06|23:12|AMIGOS COLORIDOS|BANDIDOS DO CANTE
2024-09-06|23:09|HEAVEN|NIALL HORAN
2024-09-06|23:05|HUMAN|RAG'N'BONE MAN
2024-09-06|23:00|SE ME VENS SALVAR|MÓNICA TEOTÓNIO, LATTE
2024-09-06|22:58|BEAUTIFUL THINGS|BENSON BOONE
2024-09-06|22:53|TOO SWEET|HOZIER
2024-09-06|21:56|I NEED YOUR LOVE|CALVIN HARRIS, ELLIE GOULDING
2024-09-06|21:52|LEMBRAS-TE DE MIM|NENA [PT], CAROLINA DE DEUS
2024-09-06|21:50|BELONG TOGETHER|MARK AMBOR
2024-09-06|21:50|BELONG TOGETHER|MARK AMBOR
2024-09-06|21:44|FUNERAL|TEDDY SWIMS
2024-09-06|21:41|ONE MORE NIGHT|MAROON 5
2024-09-06|21:37|NOITE|IVANDRO, VITOR KLEY
2024-09-06|21:33|THE MONSTER|EMINEM, RIHANNA
2024-09-06|21:30|AQUI|LEONOR ARROJA
2024-09-06|21:27|IT'S OK|IMAGINE DRAGONS
2024-09-06|21:23|BIRDS OF A FEATHER|BILLIE EILISH
2024-09-06|21:20|ANTES DELA DIZER QUE SIM|BÁRBARA TINOCO
2024-09-06|21:16|SEE YOU AGAIN|WIZ KHALIFA, CHARLIE PUTH
2024-09-06|21:12|AMIGOS|PABLO ALBORÁN, MARIA BECERRA
2024-09-06|21:08|DESAMOR|MARIZA, GSON
2024-09-06|21:05|CLOSE TO YOU|GRACIE ABRAMS
2024-09-06|21:02|LOOK WHO'S LAUGHING NOW|BENJAMIN INGROSSO
2024-09-06|20:56|KINGS AND QUEENS|THIRTY SECONDS TO MARS
2024-09-06|20:53|É ISSO AÍ [AO VIVO]|SEU JORGE, ANA CAROLINA
2024-09-06|20:50|ROLLING IN THE DEEP|ADELE
2024-09-06|20:46|PLEASE PLEASE PLEASE|SABRINA CARPENTER
2024-09-06|20:37|FONES NOS OUVIDOS|NENA [PT]
2024-09-06|20:33|DON'T YOU WORRY CHILD|SWEDISH HOUSE MAFIA
2024-09-06|20:30|LUCKY|HALSEY
2024-09-06|20:27|ELA NÃO SABE, POIS NÃO?|BÁRBARA TINOCO
2024-09-06|20:23|LOVE TONIGHT|SHOUSE
2024-09-06|20:19|DIE WITH A SMILE|LADY GAGA & BRUNO MARS
2024-09-06|20:16|EYES CLOSED|ED SHEERAN
2024-09-06|20:11|A THOUSAND YEARS|CHRISTINA PERRI
2024-09-06|20:08|COMO TU|BÁRBARA BANDEIRA, IVANDRO
2024-09-06|20:05|SI ANTES TE HUBIERA CONOCIDO|KAROL G
2024-09-06|20:02|A BAR SONG (TIPSY)|SHABOOZEY
2024-09-06|19:57|STAY|THE KID LAROI, JUSTIN BIEBER
2024-09-06|19:53|GET LUCKY|DAFT PUNK, PHARRELL WILLIAMS
2024-09-06|19:49|AGARRA EM MIM|ANA MOURA, PEDRO MAFAMA
2024-09-06|19:46|SI NO ESTÁS|IÑIGO QUINTERO
2024-09-06|19:37|ROOTS|CALUM SCOTT
2024-09-06|19:34|ATÉ AO FIM|MANINHO
2024-09-06|19:30|BABY|JUSTIN BIEBER, LUDACRIS
2024-09-06|19:28|MORENA [ACÚSTICA]|VITOR KLEY
2024-09-06|19:25|WOMAN'S WORLD|KATY PERRY
2024-09-06|19:22|MOVE|ADAM PORT, STRYV, MALACHIII
2024-09-06|19:20|MAIS AMOR|WILSON HONRADO, FILIP V-AGE, ALLAN MASSAY, LATON
2024-09-06|19:15|DANCE THE NIGHT|DUA LIPA
2024-09-06|19:11|SOMEBODY SAVE ME|EMINEM, JELLY ROLL
2024-09-06|19:09|TATA|SLOW J
2024-09-06|19:06|STICK SEASON|NOAH KAHAN
2024-09-06|18:58|AUSTIN|DASHA
2024-09-06|18:55|ALL OF ME|JOHN LEGEND
2024-09-06|18:52|USED TO BE YOUNG|MILEY CYRUS
2024-09-06|18:45|PLANETA|BISPO, BÁRBARA TINOCO
2024-09-06|18:42|WHY WHY WHY|SHAWN MENDES
2024-09-06|18:33|GAROTA|MANINHO, MARISA LIZ
2024-09-06|18:23|DANCE AGAIN|JENNIFER LOPEZ, PITBULL
2024-09-06|18:20|TATTOO|LOREEN
2024-09-06|18:14|CARTA [ACÚSTICO]|TIAGO BETTENCOURT
2024-09-06|18:10|HUMAN|THE KILLERS
2024-09-06|18:07|BEAUTIFUL THINGS|BENSON BOONE
2024-09-06|17:55|CHAKRAS|IVANDRO, JULINHO KSD
2024-09-06|17:51|A SKY FULL OF STARS|COLDPLAY
2024-09-06|17:43|THE STORY|BRANDI CARLILE
2024-09-06|17:40|TOO SWEET|HOZIER
2024-09-06|17:32|CIDADE|BÁRBARA TINOCO, BÁRBARA BANDEIRA
2024-09-06|17:28|ARCADE [REMIX]|DUNCAN LAURENCE, FLETCHER
2024-09-06|17:25|BURGUESINHA (AO VIVO)|SEU JORGE
2024-09-06|17:21|HOUDINI|EMINEM
2024-09-06|17:18|USE SOMEBODY|KINGS OF LEON
2024-09-06|17:13|EVEN|RICHIE CAMPBELL, VAN ZEE
2024-09-06|17:09|GIRL ON FIRE|ALICIA KEYS
2024-09-06|17:06|HOUDINI|DUA LIPA
2024-09-06|16:54|HEAVEN|CIAN DUCROT
2024-09-06|16:44|LAST FRIDAY NIGHT (T.G.I.F.)|KATY PERRY
2024-09-06|16:32|PEITO|HMB
2024-09-06|16:29|HALL OF FAME|THE SCRIPT FT WILL.I.AM
2024-09-06|16:26|WITHOUT YOU|THE KID LAROI
2024-09-06|16:23|ILLUSION|DUA LIPA
2024-09-06|16:17|COMO É LINDA|CAROLINA DESLANDES
2024-09-06|16:14|LOSE CONTROL|TEDDY SWIMS
2024-09-06|16:10|FIX YOU|COLDPLAY
2024-09-06|16:06|NOITE|IVANDRO, VITOR KLEY
2024-09-06|16:03|THE NIGHTS|AVICII
2024-09-06|16:01|BELONG TOGETHER|MARK AMBOR
2024-09-06|15:54|TAL COMO SOU|FERNANDO DANIEL
2024-09-06|15:51|LOOK WHO'S LAUGHING NOW|BENJAMIN INGROSSO
2024-09-06|15:41|HELLO|ADELE
2024-09-06|15:30|CLOCKS|COLDPLAY
2024-09-06|15:27|PELOS CANTOS DO MUNDO|MICKAEL CARREIRA, MATIAS DAMÁSIO
2024-09-06|15:24|COLD HEART [PNAU REMIX]|ELTON JOHN, DUA LIPA
2024-09-06|15:19|MARRY YOU|BRUNO MARS
2024-09-06|15:17|ELA NÃO SABE, POIS NÃO?|BÁRBARA TINOCO
2024-09-06|15:13|FLOWERS|MILEY CYRUS
2024-09-06|15:09|HOME|DAUGHTRY
2024-09-06|15:06|STARGAZING|MYLES SMITH
2024-09-06|15:03|MARIA JOANA|NUNO RIBEIRO, MARIZA, CALEMA
2024-09-06|15:00|SI NO ESTÁS|IÑIGO QUINTERO
2024-09-06|14:53|LOVE AGAIN|RICHIE CAMPBELL
