DAY|TIME PLAYED|SONG TITLE|SONG ARTIST
2024-09-02|00:01|SATELLITE|HARRY STYLES
2024-09-02|00:04|LOOK WHOS LAUGHING NOW|BENJAMIN INGROSSO
2024-09-02|00:09|I LOVE YOU, IM SORRY|GRACIE ABRAMS
2024-09-02|00:12|CHIHIRO MTG|MULU & DUDA BEAT
2024-09-02|00:14|STUMBLIN IN|CYRIL
2024-09-02|00:18|ONDE ANDA|CALEMA & ZÃ‰ FILIPE
2024-09-02|00:21|QUEVEDO: BZRP MUSIC SESSIONS, VOL. 52|BIZARRAP & QUEVEDO
2024-09-02|00:24|LUNCH|BILLIE EILISH
2024-09-02|00:27|ALIBI|SEVDALIZA WITH PABLLO VITTAR & YSEULT
2024-09-02|00:30|CAVALINHO|PEDRO SAMPAIO & GASPARZINHO
2024-09-02|00:32|WE CANT BE FRIENDS (WAIT FOR YOUR LOVE)|ARIANA GRANDE
2024-09-02|00:36|WHY WHY WHY|SHAWN MENDES
2024-09-02|00:38|YAMORE|MOBLACK & SALIF KEITA FEAT. CESARIA EVORA, BENJA & FRANC FALA
2024-09-02|00:43|CHAMADA NAO ATENDIDA|BARBARA TINOCO
2024-09-02|00:45|ADORE YOU|HUGEL X TOPIC X ARASH FEAT. DAECOLM
2024-09-02|00:49|NOT LIKE US|KENDRICK LAMAR
2024-09-02|00:54|EL CHAPO|WET BED GANG
2024-09-02|00:58|SUBSTITUTION|PURPLE DISCO MACHINE & KUNGS
2024-09-02|01:01|SI ANTES TE HUBIERA CONOCIDO|KAROL G.
2024-09-02|01:04|ESCAPISM|RAYE FEAT. 070 SHAKE
2024-09-02|01:07|HOUDINI|EMINEM
2024-09-02|01:11|PEDRIN (TU OBEDECE)|PEDRO SAMPAIO FEAT. DJ TOPO
2024-09-02|01:13|OHNANA|KAPO
2024-09-02|01:16|OLHA PARA NOS|SORAIA RAMOS FEAT. CAROLINA DESLANDES
2024-09-02|01:19|BIRDS OF A FEATHER|BILLIE EILISH
2024-09-02|01:23|TOUGH|QUAVO & LANA DEL REY
2024-09-02|01:26|TOO SWEET|HOZIER
2024-09-02|01:30|HERO|NELSON FREITAS
2024-09-02|01:34|PLEASE PLEASE PLEASE|SABRINA CARPENTER
2024-09-02|01:37|TONIGHT (D.I.Y.A.)|JAX JONES X JOEL CORRY X JASON DERULO
2024-09-02|01:40|I LOVE YOU, IM SORRY|GRACIE ABRAMS
2024-09-02|01:42|WHERE U @|SLOW J
2024-09-02|01:44|MTG QUEM NAO QUER SOU EU|DJ TOPO, SEU JORGE, MC LEOZIN & MC G15
2024-09-02|01:47|ESPRESSO|SABRINA CARPENTER
2024-09-02|01:51|WHAT WAS I MADE FOR|BILLIE EILISH
2024-09-02|01:55|GIRLS|THE KID LAROI
2024-09-02|01:57|LIL BOO THANG|PAUL RUSSELL
2024-09-02|01:59|VAMPIRE|OLIVIA RODRIGO
2024-09-02|02:03|VAMOS DE PAGODIN/SAMBA DE MALANDRO|DJ WN, DJ GM, MC PULIN DA CAPITAL, RYAN SP, PIEDRO & DANIEL
2024-09-02|02:10|ALIBI|SEVDALIZA WITH PABLLO VITTAR & YSEULT
2024-09-02|02:12|WOMANS WORLD|KATY PERRY
2024-09-02|02:15|GOOD LUCK, BABE!|CHAPPELL ROAN
2024-09-02|02:19|CASA|D.A.M.A. FEAT. BUBA ESPINHO
2024-09-02|02:22|FLOWERS|MILEY CYRUS
2024-09-02|02:25|SAGRADO PROFANO|LUISA SONZA FEAT. KAYBLACK
2024-09-02|02:28|YAMORE|MOBLACK & SALIF KEITA FEAT. CESARIA EVORA, BENJA & FRANC FALA
2024-09-02|02:32|HOT UPTOWN|CAMILA CABELLO FEAT. DRAKE
2024-09-02|02:35|I LIKE THE WAY YOU KISS ME|ARTEMAS
2024-09-02|02:37|DIE WITH A SMILE|LADY GAGA & BRUNO MARS
2024-09-02|02:42|SI ANTES TE HUBIERA CONOCIDO|KAROL G.
2024-09-02|02:45|OBEAH ME|RICHIE CAMPBELL
2024-09-02|02:47|GUESS|CHARLI XCX FEAT. BILLIE EILISH
2024-09-02|02:50|MOVE|ADAM PORT
2024-09-02|02:53|NEW WOMAN|LISA FEAT. ROSALIA
2024-09-02|02:56|SNAP|ROSA LINN
2024-09-02|02:58|LIL BOO THANG|PAUL RUSSELL
2024-09-02|03:00|BIRDS OF A FEATHER|BILLIE EILISH
2024-09-02|03:04|TAKE ME OUT|FRANZ FERDINAND
2024-09-02|03:08|I HAD SOME HELP|POST MALONE & MORGAN WALLEN
2024-09-02|03:11|(WHEN IM WITH YOU IM) FREE|CALVIN HARRIS & ELLIE GOULDING
2024-09-02|03:14|CHIHIRO|GRAVAGERZ
2024-09-02|03:16|ESTRADA|PEDRO MAFAMA
2024-09-02|03:19|I LOVE YOU, IM SORRY|GRACIE ABRAMS
2024-09-02|03:22|KISSES|BL3SS & CAMRINWATSIN FEAT. BBYCLOSE
2024-09-02|03:24|ACORDAR|PLUTONIO
2024-09-02|03:28|FORTNIGHT|TAYLOR SWIFT FEAT. POST MALONE
2024-09-02|03:32|STAY|WUANT & BLUNDER
2024-09-02|03:34|ALIBI|SEVDALIZA WITH PABLLO VITTAR & YSEULT
2024-09-02|03:37|TA TUDO BEM|T-REX
2024-09-02|03:41|MILLION DOLLAR BABY|TOMMY RICHMAN
2024-09-02|03:44|CALON|NININHO VAZ MAIA
2024-09-02|03:46|NOVIDADE NA AREA|MC LIVINHO & DJ MATT D
2024-09-02|03:49|USED TO BE YOUNG|MILEY CYRUS
2024-09-02|03:53|CHIHIRO MTG|MULU & DUDA BEAT
2024-09-02|03:55|HEAD DOWN|LOST FREQUENCIES & BASTILLE
2024-09-02|03:58|LIL BOO THANG|PAUL RUSSELL
2024-09-02|04:00|MONICA|JULINHO KSD FEAT. SORAIA RAMOS
2024-09-02|04:03|I CAN DO IT WITH A BROKEN HEART|TAYLOR SWIFT
2024-09-02|04:09|YAMORE|MOBLACK & SALIF KEITA FEAT. CESARIA EVORA, BENJA & FRANC FALA
