DAY|TIME PLAYED|SONG TITLE|SONG ARTIST
2024-09-02|07:02|I HAD SOME HELP|POST MALONE, MORGEN WALLEN
2024-09-02|07:09|O SOL|VITOR KLEY
2024-09-02|07:17|HOUDINI|EMINEM
2024-09-02|07:22|MY LOVE MINE ALL MINE|MITSKI
2024-09-02|07:24|GET LUCKY|DAFT PUNK [+] PHARRELL WILLIAMS
2024-09-02|07:34|GAROTA|MANINHO, MARISA LIZ
2024-09-02|07:40|IDGAF (CLEAN VERSION)|DUA LIPA
2024-09-02|07:46|SCARED TO START|MICHAEL MARCAGI
2024-09-02|07:51|JURO|JOANA OLIVEIRA
2024-09-02|08:02|BAD HABITS|ED SHEERAN
2024-09-02|08:08|SENORITA|SHAWN MENDES & CAMILA CABELLO
2024-09-02|08:16|MOVE|ADAM PORT, STYV, KEINEMUSIK, ORSO, MALACHII
2024-09-02|08:22|CHASING CARS|SNOW PATROL
2024-09-02|08:26|CONTRA PROBABILIDADES|BISPO FT. JULINHO KSD
2024-09-02|08:34|PLEASE, PLEASE, PLEASE|SABRINA CARPENTER
2024-09-02|08:42|O AMOR E MAGICO|EXPENSIVE SOUL
2024-09-02|08:50|BIRDS OF A FEATHER|BILLIE EILISH
2024-09-02|08:55|LEMBRAS-TE DE MIM|NENA, CAROLINA DE DEUS
2024-09-02|09:04|AUSTIN|DASHA
2024-09-02|09:09|DUSK TILL DAWN|ZAYN FT. SIA
2024-09-02|09:17|CIRCLES|POST MALONE
2024-09-02|09:22|DANCE THE NIGHT|DUA LIPA
2024-09-02|09:25|BENÇÃO|MIZZY MILES, VAN ZEE, BISPO
2024-09-02|09:35|TATTOO|LOREEN
2024-09-02|09:38|MY LOVE|JUSTIN TIMBERLAKE FEAT. T.I.
2024-09-02|09:45|DIALETOS DA TERNURA|DA WEASEL
2024-09-02|09:49|MILLION DOLLAR BABY|TOMMY RICHMAN
2024-09-02|10:01|SI NO ESTÁS|IÑIGO QUINTERO
2024-09-02|10:04|SAY YOU WONT LET GO|JAMES ARTHUR
2024-09-02|10:07|WOMANS WORLD|KATY PERRY
2024-09-02|10:10|LUNCH|BILLIE EILISH
